TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDateOnly,hour,day_of_week,day_name,month,day,is_weekend,TimeBetweenTransactions,TransactionFrequency,is_first_transaction_of_day,Lat,Lon,has_multiple_daily_locations,max_location_distance_km,StateName,StateCode,amount_log,amount_squared,amount_sqrt,customer_tx_count,customer_avg_amount,customer_std_amount,customer_min_amount,customer_max_amount,customer_median_amount,amount_deviation_from_mean,amount_ratio_to_max,is_max_transaction,merchant_tx_count,merchant_avg_amount,merchant_std_amount,is_rare_merchant,customer_merchant_count,is_first_time_merchant,time_since_last_tx,is_rapid_transaction,amount_x_hour,fraud_score,fraud_prediction,model_votes,iso_forest_flag,lof_flag,ocsvm_flag
TX001439,AC00179,1831.02,2023-09-15 17:31:42,Credit,Columbus,D000246,141.121.30.32,M012,Online,62,Doctor,83,1,11498.01,2024-11-04 08:10:52,2023-09-15,17,4,Friday,9,15,0,415.61,0.0721830562306008,True,39.9622601,-83.0007065,False,0.0,Ohio,OH,7.513174462205053,3352634.2404,42.79041948847896,6,636.6216666666667,659.3779730447982,204.63,1831.02,288.025,1.8114016244834192,0.9999999994538563,1,21,409.3409523809524,453.71757636116286,0,1,1,5233.043333333333,0,31127.34,0.5932823906985653,1,3,1,1,1
TX001953,AC00350,1496.57,2023-02-27 16:18:28,Debit,Memphis,D000139,182.84.41.229,M092,Online,33,Engineer,95,1,969.06,2024-11-04 08:06:37,2023-02-27,16,0,Monday,2,27,0,615.66,0.04872819413312543,True,35.1460249,-90.0517638,False,0.0,Tennessee,TN,7.311599073471402,2239721.7649,38.6855270094644,2,907.92,832.4768134909224,319.27,1496.57,907.92,0.7071067803371464,0.9999999993318053,1,22,344.25363636363636,423.4924915682905,0,1,1,-3432.660277777778,1,23945.12,0.5889793513944982,1,3,1,1,1
TX000451,AC00495,745.03,2023-08-03 17:42:02,Debit,Fort Worth,D000031,30.92.249.132,M075,Online,28,Student,231,1,160.57,2024-11-04 08:09:15,2023-08-03,17,3,Thursday,8,3,0,458.6,0.06541648495420846,False,32.753177,-97.3327459,True,2672.407163056508,Texas,TX,6.614765813872392,555069.7008999999,27.2952376798591,8,300.72125,277.36567896847447,24.34,745.03,202.065,1.6018879843046925,0.9999999986577722,1,19,465.58578947368414,417.0644857055586,0,1,1,1918.9075,0,12665.51,0.5680090475867579,1,3,1,1,1
TX002064,AC00110,351.38,2023-06-26 18:41:55,Debit,New York,D000254,47.82.77.181,M026,Branch,64,Retired,21,1,7606.63,2024-11-04 08:06:32,2023-06-26,18,0,Monday,6,26,0,496.56,0.06041565973900435,False,40.7127281,-74.0060152,True,4138.973872106272,New York,NY,5.864710138762483,123467.9044,18.745132701584165,8,313.47125,399.3111939484041,19.39,1250.94,229.1,0.09493535488004105,0.28089276841343885,0,42,270.1280952380953,242.7743661201979,0,1,1,-3453.9569444444446,1,6324.84,0.5496879806788525,1,3,1,1,1
TX000341,AC00107,1830.0,2023-03-01 16:31:58,Debit,San Antonio,D000436,62.27.235.199,M082,Online,55,Engineer,238,1,2235.7,2024-11-04 08:11:59,2023-03-01,16,2,Wednesday,3,1,0,613.65,0.048887802493277926,True,29.4246002,-98.4951405,False,0.0,Texas,TX,7.5126175446745105,3348900.0,42.77849927241488,5,596.064,727.7003299985511,20.36,1830.0,345.54,1.6956650250616103,0.9999999994535519,1,18,365.9761111111111,485.97554183359625,0,1,1,-3480.5055555555555,1,29280.0,0.5357930037819214,1,3,1,1,1
TX000654,AC00423,1919.11,2023-06-27 17:48:25,Debit,Portland,D000191,207.157.126.125,M033,ATM,30,Doctor,161,1,11090.24,2024-11-04 08:10:27,2023-06-27,17,1,Tuesday,6,27,0,495.6,0.06053268765133172,True,45.5202471,-122.674194,False,0.0,Oregon,OR,7.560137755047389,3682983.1920999996,43.8076477341571,6,506.3566666666666,711.8578000040924,44.52,1919.11,254.49,1.9846004796753103,0.999999999478925,1,25,287.39,391.8342786391546,0,1,1,2183.3,0,32624.87,0.5236094311027628,1,3,1,1,1
TX001214,AC00170,1192.2,2023-12-21 16:21:27,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,5,7816.41,2024-11-04 08:09:14,2023-12-21,16,3,Thursday,12,21,0,318.66,0.09414422895876481,True,30.3321838,-81.655651,False,0.0,Florida,FL,7.084394052640594,1421340.84,34.52824930401193,7,247.32571428571433,420.1260819030855,9.1,1192.2,106.99,2.249025528682181,0.9999999991612145,1,22,381.8377272727273,351.9144956476924,0,1,1,7056.196666666667,0,19075.2,0.5152731673843176,1,3,1,1,1
TX001424,AC00443,1076.98,2023-12-20 18:12:25,Debit,Detroit,D000474,49.31.186.82,M090,Branch,60,Doctor,173,1,11833.73,2024-11-04 08:09:33,2023-12-20,18,2,Wednesday,12,20,0,319.58,0.09387320858626948,True,42.3315509,-83.0466403,False,0.0,Michigan,MI,6.98284419842114,1159885.9204,32.81737344761156,4,646.28,327.78160788346054,299.09,1076.98,604.525,1.313984641991098,0.9999999990714775,1,23,177.12304347826085,246.77934274155237,0,1,1,8113.961111111111,0,19385.64,0.48388557435801416,1,3,1,1,1
TX002035,AC00472,588.37,2023-01-05 17:48:29,Debit,Dallas,D000482,49.20.211.229,M100,Online,28,Student,284,1,1926.08,2024-11-04 08:07:39,2023-01-05,17,3,Thursday,1,5,0,668.6,0.04486987735566856,True,32.7762719,-96.7968559,False,0.0,Texas,TX,6.37905416978864,346179.2569,24.25633937757303,1,588.37,,588.37,588.37,588.37,,0.9999999983003892,1,29,267.6541379310345,207.31737242893428,0,1,1,,0,10002.29,0.47527987615060346,1,3,1,1,1
TX002424,AC00340,332.06,2023-06-21 16:38:54,Debit,Seattle,D000365,94.37.250.128,M086,ATM,29,Doctor,221,4,11826.52,2024-11-04 08:06:23,2023-06-21,16,2,Wednesday,6,21,0,501.64,0.05980384339366877,True,47.6038321,-122.330062,False,0.0,Washington,WA,5.808322653930125,110263.84360000001,18.222513547806734,2,382.345,71.1137289839311,332.06,432.63,382.345,-0.7071067712432249,0.767538079265104,0,20,396.9755,390.5615953641897,0,1,1,-216.5288888888889,1,5312.96,0.4681856304667094,1,3,1,1,1
